year,month,mean,max,date
2020,1,241.71547619047618,250.0,2020-01-01
2020,2,233.27552631578945,244.36,2020-02-01
2020,3,169.59613636363636,209.56,2020-03-01
2020,4,173.14809523809524,190.74,2020-04-01
2020,5,182.6815,206.34,2020-05-01
2020,6,205.37772727272724,220.81,2020-06-01
2020,7,205.0359090909091,216.9,2020-07-01
2020,8,205.47904761904763,212.13,2020-08-01
2020,9,199.61285714285714,210.94,2020-09-01
2020,10,203.45818181818183,214.12,2020-10-01
2020,11,216.041,237.5,2020-11-01
2020,12,244.87,259.59,2020-12-01
2021,1,286.9136842105263,307.87,2021-01-01
2021,2,303.5210526315789,330.64,2021-02-01
2021,3,335.57798669884784,352.58018130342,2021-03-01
2021,4,335.292380952381,352.97,2021-04-01
2021,5,362.16549999999995,371.37,2021-05-01
2021,6,373.01,391.45,2021-06-01
